Mouse moved,m,554,1,2019-06-11 10:49:06.776284,3,1
Button clicked,m,18,1,2019-06-11 10:49:06.793501,3,1
Mouse started moving,m,0,,2019-06-11 10:49:06.890486,3,1
Mouse moved,m,246,5,2019-06-11 10:49:07.136532,3,1
Button clicked,m,40,5,2019-06-11 10:49:07.176593,3,1
Mouse started moving,m,0,,2019-06-11 10:49:07.234708,3,1
Mouse moved,m,446,+,2019-06-11 10:49:07.680130,3,1
Button clicked,m,27,+,2019-06-11 10:49:07.706158,3,1
Mouse started moving,m,0,,2019-06-11 10:49:07.826501,3,1
Mouse moved,m,310,1,2019-06-11 10:49:08.136341,3,1
Button clicked,m,25,1,2019-06-11 10:49:08.162027,3,1
Mouse started moving,m,0,,2019-06-11 10:49:08.222693,3,1
Mouse moved,m,354,6,2019-06-11 10:49:08.576956,3,1
Button clicked,m,23,6,2019-06-11 10:49:08.599898,3,1
Mouse started moving,m,0,,2019-06-11 10:49:08.770789,3,1
Mouse moved,m,534,+,2019-06-11 10:49:09.304558,3,1
Button clicked,m,32,+,2019-06-11 10:49:09.336855,3,1
Mouse started moving,m,0,,2019-06-11 10:49:09.466574,3,1
Mouse moved,m,366,1,2019-06-11 10:49:09.832305,3,1
Button clicked,m,29,1,2019-06-11 10:49:09.860299,3,1
Mouse started moving,m,0,,2019-06-11 10:49:09.994536,3,1
Mouse moved,m,247,7,2019-06-11 10:49:10.241646,3,1
Button clicked,m,14,7,2019-06-11 10:49:10.255884,3,1
Mouse started moving,m,0,,2019-06-11 10:49:10.282743,3,1
Mouse moved,m,494,+,2019-06-11 10:49:10.776163,3,1
Button clicked,m,27,+,2019-06-11 10:49:10.802554,3,1
Button clicked,m,25,1,2019-06-11 10:49:11.217491,3,1
Mouse started moving,m,0,,2019-06-11 10:49:11.235564,3,1
Mouse moved,m,317,8,2019-06-11 10:49:11.552221,3,1
Button clicked,m,42,8,2019-06-11 10:49:11.593596,3,1
Mouse started moving,m,0,,2019-06-11 10:49:11.738501,3,1
